phase,benchmark,dataset,system,metric,cutoff,value,sample_size,source_file,artifact_path,claim_strength,notes
retrieval,P0-B/C,MiniBench-v1,Dense,Recall@5,5,0.7586,30,reports/p0-d-real-finance-validation.md,artifacts/p0_bc_runs/,PROJECT_CREATED_STRESS,controlled development fixture
retrieval,P0-B/C,MiniBench-v1,Hybrid,Recall@5,5,0.7931,30,reports/p0-d-real-finance-validation.md,artifacts/p0_bc_runs/,PROJECT_CREATED_STRESS,controlled development fixture
retrieval,P0-D,RealFinance-v1,Dense,Recall@1,1,,100,reports/p0-d-real-finance-validation.md,artifacts/p0_d_runs/,PUBLIC_BENCHMARK,MISSING in formal report
retrieval,P0-D,RealFinance-v1,Dense,Recall@5,5,0.09,100,reports/p0-d-real-finance-validation.md,artifacts/p0_d_runs/,PUBLIC_BENCHMARK,50 TAT-QA + 50 FinQA fixed slice
retrieval,P0-D,RealFinance-v1,Dense,Recall@10,10,,100,reports/p0-d-real-finance-validation.md,artifacts/p0_d_runs/,PUBLIC_BENCHMARK,MISSING in formal report
retrieval,P0-D,RealFinance-v1,Dense,Recall@50,50,,100,reports/p0-d-real-finance-validation.md,artifacts/p0_d_runs/,PUBLIC_BENCHMARK,MISSING in formal report
retrieval,P0-D,RealFinance-v1,Dense,MRR,,0.1027,100,reports/p0-d-real-finance-validation.md,artifacts/p0_d_runs/,PUBLIC_BENCHMARK,
retrieval,P0-D,RealFinance-v1,Dense,nDCG@10,10,0.0773,100,reports/p0-d-real-finance-validation.md,artifacts/p0_d_runs/,PUBLIC_BENCHMARK,
retrieval,P0-D,RealFinance-v1,Hybrid,Recall@1,1,,100,reports/p0-d-real-finance-validation.md,artifacts/p0_d_runs/,PUBLIC_BENCHMARK,MISSING in formal report
retrieval,P0-D,RealFinance-v1,Hybrid,Recall@5,5,0.1417,100,reports/p0-d-real-finance-validation.md,artifacts/p0_d_runs/,PUBLIC_BENCHMARK,
retrieval,P0-D,RealFinance-v1,Hybrid,Recall@10,10,,100,reports/p0-d-real-finance-validation.md,artifacts/p0_d_runs/,PUBLIC_BENCHMARK,MISSING in formal report
retrieval,P0-D,RealFinance-v1,Hybrid,Recall@50,50,,100,reports/p0-d-real-finance-validation.md,artifacts/p0_d_runs/,PUBLIC_BENCHMARK,MISSING in formal report
retrieval,P0-D,RealFinance-v1,Hybrid,MRR,,0.1895,100,reports/p0-d-real-finance-validation.md,artifacts/p0_d_runs/,PUBLIC_BENCHMARK,
retrieval,P0-D,RealFinance-v1,Hybrid,nDCG@10,10,0.1405,100,reports/p0-d-real-finance-validation.md,artifacts/p0_d_runs/,PUBLIC_BENCHMARK,
retrieval,P0-D,RealFinance-v1,Facet-aware predicted,Recall@5,5,0.1417,100,reports/p0-d-real-finance-validation.md,artifacts/p0_d_runs/,PUBLIC_BENCHMARK,deterministic facet scoring
retrieval,P0-D,RealFinance-v1,Facet-aware predicted,MRR,,0.1912,100,reports/p0-d-real-finance-validation.md,artifacts/p0_d_runs/,PUBLIC_BENCHMARK,
retrieval,P0-D,RealFinance-v1,Facet-aware predicted,nDCG@10,10,0.1398,100,reports/p0-d-real-finance-validation.md,artifacts/p0_d_runs/,PUBLIC_BENCHMARK,
retrieval,P0-H,HSBCNaturalHard-v1,Dense,Recall@5,5,0.1864,59,reports/p0-h-gold-requirement-hsbc-natural-hardcases.md,artifacts/p0_h_runs/,PROJECT_CREATED_NATURAL,project-created natural hard-negative set
retrieval,P0-H,HSBCNaturalHard-v1,Dense,MRR,,0.1312,59,reports/p0-h-gold-requirement-hsbc-natural-hardcases.md,artifacts/p0_h_runs/,PROJECT_CREATED_NATURAL,
retrieval,P0-H,HSBCNaturalHard-v1,Dense,nDCG@10,10,0.129,59,reports/p0-h-gold-requirement-hsbc-natural-hardcases.md,artifacts/p0_h_runs/,PROJECT_CREATED_NATURAL,
retrieval,P0-H,HSBCNaturalHard-v1,Hybrid + Generic,Recall@5,5,0.2881,59,reports/p0-h-gold-requirement-hsbc-natural-hardcases.md,artifacts/p0_h_runs/,PROJECT_CREATED_NATURAL,
retrieval,P0-H,HSBCNaturalHard-v1,Hybrid + Generic,MRR,,0.2322,59,reports/p0-h-gold-requirement-hsbc-natural-hardcases.md,artifacts/p0_h_runs/,PROJECT_CREATED_NATURAL,
retrieval,P0-H,HSBCNaturalHard-v1,Hybrid + Generic,nDCG@10,10,0.3364,59,reports/p0-h-gold-requirement-hsbc-natural-hardcases.md,artifacts/p0_h_runs/,PROJECT_CREATED_NATURAL,
retrieval,P0-H,HSBCNaturalHard-v1,Facet-aware deterministic,Recall@5,5,0.9661,59,reports/p0-h-gold-requirement-hsbc-natural-hardcases.md,artifacts/p0_h_runs/,PROJECT_CREATED_NATURAL,not neural reranking
retrieval,P0-H,HSBCNaturalHard-v1,Facet-aware deterministic,MRR,,0.7759,59,reports/p0-h-gold-requirement-hsbc-natural-hardcases.md,artifacts/p0_h_runs/,PROJECT_CREATED_NATURAL,
retrieval,P0-H,HSBCNaturalHard-v1,Facet-aware deterministic,nDCG@10,10,0.8313,59,reports/p0-h-gold-requirement-hsbc-natural-hardcases.md,artifacts/p0_h_runs/,PROJECT_CREATED_NATURAL,
retrieval,B3.2,HSBCNaturalMultimodal-v1,T0 Text Only,Recall@10,10,0.5375,80,reports/b3-2-benchmark-integrity-public-closure.md,artifacts/b3_2_runs/,PROJECT_CREATED_NATURAL,performance-blind natural control
retrieval,B3.2,HSBCNaturalMultimodal-v1,T1 Parsed Page Text,Recall@10,10,0.5875,80,reports/b3-2-benchmark-integrity-public-closure.md,artifacts/b3_2_runs/,PROJECT_CREATED_NATURAL,not verified Structured Table IR
