rag_stage,capability,status,dataset,sample_size,metrics,current_result,evidence_source,claim_strength,gap
数据接入与文档解析,HSBC official PDF provenance,IMPLEMENTED,HSBC FY2025 corpus,2 docs / 494 pages,SHA256/page_count,2 docs; both hashes and page counts recorded,data/hsbc_corpus_manifest.json,OBSERVED,semantic parsing gold absent
数据接入与文档解析,Deterministic page rendering,IMPLEMENTED,HSBC page images,494 pages,render manifest,72 DPI; page images and hashes recorded,artifacts/hsbc_page_images/page_render_manifest.json,OBSERVED,DPI/renderer ablation missing
数据接入与文档解析,Table structure preservation,PARTIAL,HSBC Annual Report p1–26,24 regions / 13 pages,parse/structure/header/identity,parse 1.0000; structure 0.7418; header path 0.7278; identity and row/column 1.0000,reports/b4-1-real-financial-table-recovery.md,STRUCTURAL_INVARIANT,semantic cell/unit/merged/footnote N/A
数据接入与文档解析,Semantic table accuracy,NOT_IMPLEMENTED,HSBC TableIR,N/A,cell/header/unit/footnote accuracy,N/A,reports/b4-1-real-financial-table-recovery.md,N/A,needs verified table gold
切分、结构化与索引,Evidence IR page/block identity,IMPLEMENTED,Mini/RealFinance/HSBC,19 / 1652 / 984 catalog smoke,provenance and identity,"EvidenceObject retains identity, provenance, structure and verification",src/finevidence/contracts/evidence.py;docs/FIN_EVIDENCE_API_SPEC.md,OBSERVED,no granularity ablation
切分、结构化与索引,Text index,IMPLEMENTED,MiniBench/RealFinance/HSBC,30 / 100 / HSBC pool,Recall/MRR/nDCG,"Dense, hybrid, parsed page text and facet paths evaluated",reports/p0-d-real-finance-validation.md;reports/b3-2-benchmark-integrity-public-closure.md,PUBLIC_BENCHMARK,chunk-size/overlap ablation missing
切分、结构化与索引,Visual page index,IMPLEMENTED,HSBC rendered pages,81 indexed pages in B3.1,offline index time,CPU CLIP RN50 visual index 6535.76 ms,reports/b3-1-public-benchmark-evaluation-closure.md,OBSERVED,not financial VLM
切分、结构化与索引,Table index,PARTIAL,HSBC TableIR,24 regions,T2 R@10/critical recovery,R@10 0.0833; critical recovery 0.1667,reports/b4-1-real-financial-table-recovery.md,OBSERVED,semantic TableIR gold absent
切分、结构化与索引,Chunk/granularity ablation,NOT_IMPLEMENTED,Financial corpus,N/A,recall/coverage delta,MISSING,audit of reports/artifacts,N/A,P1 measurement gap
查询理解与证据需求拆解,Requirement Graph D4,PARTIAL,RequirementAdjudicated-v1,36,req P/R/critical/type/role/dependency,P/R/critical 0.7222; type/role/dependency 1.0000,reports/p0-h-gold-requirement-hsbc-natural-hardcases.md,MODEL_ASSISTED,not human gold; annotation ceiling
查询理解与证据需求拆解,D1 LLM Direct,NOT_IMPLEMENTED,RequirementAdjudicated-v1,36,requirement quality,N/A; 36/36 malformed JSON,reports/p0-h-gold-requirement-hsbc-natural-hardcases.md,N/A,no valid output contract
